id,para_id,surah_id,verse_id,name_id
1073,19,27,6,52
1074,20,27,76,52
1075,20,27,92,52
1076,20,28,85,52
1077,21,30,58,52
1078,22,34,31,52
1079,22,36,2,52
1080,23,38,1,52
1081,23,39,27,52
1082,25,43,31,52
1083,26,46,29,52
1084,26,47,24,52
1085,26,50,1,52
1086,26,50,45,52
1087,27,54,17,52
1088,27,54,22,52
1089,27,54,32,52
1090,27,54,40,52
1091,27,55,2,52
1092,28,59,21,52
1093,29,73,4,52
1094,29,73,20,52
1095,29,76,23,52
1096,30,84,21,52
1097,2,2,187,53
1098,2,2,185,53
1099,1,2,83,54
1100,2,2,177,54
1101,4,4,8,54
1102,5,4,36,54
1103,10,8,41,54
1104,14,16,90,54
1105,15,17,26,54
1106,18,24,22,54
1107,21,30,38,54
1108,25,42,23,54
1109,28,59,7,54
1110,2,2,180,54
1111,2,2,215,54
1112,5,4,135,54
1113,4,4,7,54
1114,5,4,33,54
1115,2,2,237,54
1116,4,3,167,54
1117,4,4,11,54
1118,6,5,8,54
1119,14,16,77,54
1120,15,17,57,54
1121,17,22,13,54
1122,26,50,16,54
1123,27,56,85,54
1124,18,24,31,55
1125,6,4,176,55
1126,4,4,12,55
1127,8,7,38,55
1128,18,24,61,55
1129,16,20,40,55
1130,4,4,23,55
1131,22,33,55,55
1132,20,28,11,55
1133,20,28,12,55
1134,16,19,28,55
1135,22,33,55,58
1136,5,4,29,56
1137,2,2,195,56
1138,2,2,234,57
1139,2,2,240,57
1140,13,13,38,57
1141,14,15,88,57
1142,14,16,72,57
1143,16,20,53,57
1144,16,20,131,57
1145,21,30,21,57
1146,22,35,11,57
1147,25,42,11,57
1148,27,56,7,57
1149,28,66,5,57
1150,30,78,8,57
1151,1,2,25,57
1152,3,3,15,57
